"setNumber","setName","ageGroup","rating","themeGroup","theme","subtheme","pieces","minifigs","RRP","PPP","yearReleased","packaging","availability","instructions","setType"
"700_1_4-1","Individual 1 x 2 Bricks",NA,NA,"Basic","System","Supplemental",NA,NA,NA,NA,"1953",NA,NA,NA,"Other"
"700_3_4-1","Individual 2 x 3 Bricks",NA,NA,"Basic","System","Supplemental",NA,NA,NA,NA,"1953",NA,NA,NA,"Other"
"700_B-1","Early LEGO Windows/Doors (without Glass)",NA,NA,"Basic","System","Supplemental",NA,NA,NA,NA,"1953",NA,NA,NA,"Other"
"700_F-1","Automatic Binding Bricks - Small Brick Set (Lego Mursten)",NA,NA,"Basic","System","Supplemental",NA,NA,NA,NA,"1953",NA,NA,NA,"Other"
"700_1-1","Gift Package (Lego Mursten)",NA,NA,"Basic","System","Town Plan",NA,NA,NA,NA,"1954",NA,NA,NA,"Other"
"700_16-1","Individual 2 x 8 Bricks",NA,NA,"Basic","System","Supplemental",NA,NA,NA,NA,"1954",NA,NA,NA,"Other"
"700_2-1","Gift Package (Lego Mursten)",NA,NA,"Basic","System","Town Plan",NA,NA,NA,NA,"1954",NA,NA,NA,"Other"
"700_20-1","Individual 2 x 10 Bricks",NA,NA,"Basic","System","Supplemental",NA,NA,NA,NA,"1954",NA,NA,NA,"Other"
"700_24-1","Individual 2 x 12 Bricks",NA,NA,"Basic","System","Supplemental",NA,NA,NA,NA,"1954",NA,NA,NA,"Other"
"700_28-1","Individual 2 x 14 Bricks",NA,NA,"Basic","System","Supplemental",NA,NA,NA,NA,"1954",NA,NA,NA,"Other"
"700_3-1","Gift Package (Lego Mursten)",NA,NA,"Basic","System","Town Plan",NA,NA,NA,NA,"1954",NA,NA,NA,"Other"
"700_3A-1","Gift Package (Lego Mursten)",NA,NA,"Basic","System","Town Plan",NA,NA,NA,NA,"1954",NA,NA,NA,"Other"
"700_4-1","Gift Package (Lego Mursten)",NA,NA,"Basic","System","Town Plan",NA,NA,NA,NA,"1954",NA,NA,NA,"Other"
"700_5-1","Gift Package (Lego Mursten)",NA,NA,"Basic","System","Town Plan",NA,NA,NA,NA,"1954",NA,NA,NA,"Other"
"700_6-1","Gift Package (Lego Mursten)",NA,NA,"Basic","System","Town Plan",NA,NA,NA,NA,"1954",NA,NA,NA,"Other"
"700_C-1","Tall Classic Windows/Door (with Glass)",NA,NA,"Basic","System","Supplemental",NA,NA,NA,NA,"1954",NA,NA,NA,"Other"
"700_C_1-1","Individual 1 x 6 x 4 Panorama Window (with glass)",NA,NA,"Basic","System","Supplemental",NA,NA,NA,NA,"1954",NA,NA,NA,"Other"
"700_C_2-1","Individual 1 x 6 x 3 3-Pane Window (with glass)",NA,NA,"Basic","System","Supplemental",NA,NA,NA,NA,"1954",NA,NA,NA,"Other"
"700_C_3-1","Individual 1 x 6 x 3 Shutter Window (with glass)",NA,NA,"Basic","System","Supplemental",NA,NA,NA,NA,"1954",NA,NA,NA,"Other"
"700_C_4-1","Individual 1 x 4 x 3 Window (with glass)",NA,NA,"Basic","System","Supplemental",NA,NA,NA,NA,"1954",NA,NA,NA,"Other"
"700_C_5-1","Individual 1 x 3 x 3 Window (with glass)",NA,NA,"Basic","System","Supplemental",NA,NA,NA,NA,"1954",NA,NA,NA,"Other"
"700_C_6-1","Individual 1 x 2 x 4 Door (with glass)",NA,NA,"Basic","System","Supplemental",NA,NA,NA,NA,"1954",NA,NA,NA,"Other"
"700_E-1","Individual 10 x 20 Baseplate",NA,NA,"Basic","System","Supplemental",NA,NA,NA,NA,"1954",NA,NA,NA,"Other"
"700_H-1","Individual 4 x 4 Corner Bricks",NA,NA,"Basic","System","Supplemental",NA,NA,NA,NA,"1954",NA,NA,NA,"Other"
"1200-1","LEGO Town Plan Board, Large Plastic",NA,NA,"Basic","System","Town Plan","1",NA,NA,NA,"1955",NA,NA,NA,"Normal"
"1210-2","Small Store Set",NA,NA,"Basic","System","Town Plan","30",NA,NA,NA,"1955",NA,NA,NA,"Normal"
"1211-2","Small House Set",NA,NA,"Basic","System","Town Plan","19",NA,NA,NA,"1955",NA,NA,NA,"Normal"
"1212-2","Small House - Left Set",NA,NA,"Basic","System","Town Plan","21",NA,NA,NA,"1955",NA,NA,NA,"Normal"
"1213-2","Small House - Right Set",NA,NA,"Basic","System","Town Plan","21",NA,NA,NA,"1955",NA,NA,NA,"Normal"
"1214-2","Windows and Doors",NA,NA,"Basic","System","Supplemental","6",NA,NA,NA,"1955",NA,NA,NA,"Normal"
"1215-2","2 x 8 & 2 x 10 Bricks",NA,NA,"Basic","System","Supplemental","5",NA,NA,NA,"1955",NA,NA,NA,"Normal"
"1216-2","4 x 4 Corner Bricks",NA,NA,"Basic","System","Supplemental","5",NA,NA,NA,"1955",NA,NA,NA,"Normal"
"1217-2","2 x 4 Bricks",NA,NA,"Basic","System","Supplemental","13",NA,NA,NA,"1955",NA,NA,NA,"Normal"
"1218-2","2 x 3 Bricks",NA,NA,"Basic","System","Supplemental","15",NA,NA,NA,"1955",NA,NA,NA,"Normal"
"1219-2","2 x 2 Bricks",NA,NA,"Basic","System","Supplemental","20",NA,NA,NA,"1955",NA,NA,NA,"Normal"
"1220-2","1 x 2 Bricks",NA,NA,"Basic","System","Supplemental","26",NA,NA,NA,"1955",NA,NA,NA,"Normal"
"1221-2","1 x 1 Bricks",NA,NA,"Basic","System","Supplemental","40",NA,NA,NA,"1955",NA,NA,NA,"Normal"
"1222-2","1 x 1 Round Bricks",NA,NA,"Basic","System","Supplemental","40",NA,NA,NA,"1955",NA,NA,NA,"Normal"
"1223-2","2 x 2 & 2 x 4 Curved Bricks",NA,NA,"Basic","System","Supplemental","14",NA,NA,NA,"1955",NA,NA,NA,"Normal"
"1224-2","8 Named Beams",NA,NA,"Basic","System","Supplemental","8",NA,NA,NA,"1955",NA,NA,NA,"Normal"
"1225-2","Mixed Plates Parts Pack",NA,NA,"Basic","System","Supplemental","6",NA,NA,NA,"1955","Box","Retail",NA,"Normal"
"1230-2","Windows and Door without Glass",NA,NA,"Basic","System","Supplemental","7",NA,NA,NA,"1955",NA,NA,NA,"Normal"
"1235-2","Garage Plate and Door",NA,NA,"Basic","System","Supplemental","3",NA,NA,NA,"1955",NA,NA,NA,"Normal"
"1236-2","Garage",NA,NA,"Basic","System","Town Plan","59",NA,NA,NA,"1955",NA,NA,NA,"Normal"
"1237-2","Service Station",NA,NA,"Basic","System","Town Plan",NA,NA,NA,NA,"1955",NA,NA,NA,"Normal"
"1240-2","8 Road Signs",NA,NA,"Basic","System","Supplemental","8",NA,NA,NA,"1955",NA,NA,NA,"Normal"
"1241-2","8 Road Signs",NA,NA,"Basic","System","Supplemental","8",NA,NA,NA,"1955",NA,NA,NA,"Normal"
"1247-2","Esso Pumps/Sign",NA,NA,"Basic","System","Supplemental","2",NA,NA,NA,"1955",NA,NA,NA,"Normal"
"1248-2","Painted Trees and Bushes",NA,NA,"Basic","System","Supplemental","6",NA,NA,NA,"1955",NA,NA,NA,"Normal"
"1250-2","1:87 Esso Bedford Tanker",NA,NA,"Basic","System","HO 1:87 Vehicles","1",NA,NA,NA,"1955",NA,NA,NA,"Normal"
"1251-2","1:87 Esso Bedford Truck",NA,NA,"Basic","System","HO 1:87 Vehicles","1",NA,NA,NA,"1955",NA,NA,NA,"Normal"
"1252-2","1:87 Esso Bedford Trailer",NA,NA,"Basic","System","HO 1:87 Vehicles","1",NA,NA,NA,"1955",NA,NA,NA,"Normal"
"1253-2","1:87 Bedford Flatbed Truck",NA,NA,"Basic","System","HO 1:87 Vehicles","1",NA,NA,NA,"1955",NA,NA,NA,"Normal"
"1254-2","1:87 Bedford Flatbed Trailer",NA,NA,"Basic","System","HO 1:87 Vehicles","1",NA,NA,NA,"1955",NA,NA,NA,"Normal"
"1255-2","1:87 Bedford Fire Engine",NA,NA,"Basic","System","HO 1:87 Vehicles","1",NA,NA,NA,"1955",NA,NA,NA,"Normal"
"1256-2","1:87 Bedford Tow Truck",NA,NA,"Basic","System","HO 1:87 Vehicles","1",NA,NA,NA,"1955",NA,NA,NA,"Normal"
